src,dst,etype,quote
ART:a0472,SRC:EveningStar,DERIVED_FROM,
Person:Maj. Pullman,MENTION:a0472:Maj. Pullman,SUPPORTED_BY,
Person:Maj. Pullman,ART:a0472,ABOUT,"AlaJ. Pullman, superintendent of po lice. thinks greater care should be exercised"
MENTION:a0472:Maj. Pullman,ART:a0472,DERIVED_FROM,
Concept:denatured alcohol,MENTION:a0472:denatured alcohol,SUPPORTED_BY,
Concept:denatured alcohol,ART:a0472,ABOUT,denatured alcohol is easily obtained at auto service sta tions through the city
MENTION:a0472:denatured alcohol,ART:a0472,DERIVED_FROM,
EVENT:a0472:0,ART:a0472,ABOUT,"In a message to the several police captains, AlaJ. Pullman stated"
EVENT:a0472:0,MENTION:a0472:event0,SUPPORTED_BY,
MENTION:a0472:event0,ART:a0472,DERIVED_FROM,
CA:a0472:0,Concept:변성 알코올의 손쉬운 접근(자동차 정비소),CAUSE,
CA:a0472:0,Concept:음용 목적의 불법 전용,EFFECT,
CA:a0472:0,MENTION:a0472:ca0,EVIDENCE,
MENTION:a0472:ca0,ART:a0472,DERIVED_FROM,
ART:a0531,SRC:EveningStar,DERIVED_FROM,
Concept:wood alcohol,MENTION:a0531:wood alcohol,SUPPORTED_BY,
Concept:wood alcohol,ART:a0531,ABOUT,Wood alcohol makes the subsequent doctor's bill
MENTION:a0531:wood alcohol,ART:a0531,DERIVED_FROM,
Concept:bootlegger's bribe,MENTION:a0531:bootlegger's bribe,SUPPORTED_BY,
Concept:bootlegger's bribe,ART:a0531,ABOUT,the bootleggers' exorbi tant bribe
MENTION:a0531:bootlegger's bribe,ART:a0531,DERIVED_FROM,
CA:a0531:0,Concept:목정 알코올(wood alcohol) 음용,CAUSE,
CA:a0531:0,Concept:중독/의료비 지출,EFFECT,
CA:a0531:0,MENTION:a0531:ca0,EVIDENCE,
MENTION:a0531:ca0,ART:a0531,DERIVED_FROM,
CA:a0531:1,Concept:밀주(스피크지) 음주 풍습 일반,CAUSE,
CA:a0531:1,Concept:부패(뇌물) 관행과의 풍자적 등치,EFFECT,
CA:a0531:1,MENTION:a0531:ca1,EVIDENCE,
MENTION:a0531:ca1,ART:a0531,DERIVED_FROM,
ART:a0267,SRC:EveningStar,DERIVED_FROM,
Place:Brooklyn,MENTION:a0267:Brooklyn,SUPPORTED_BY,
Place:Brooklyn,ART:a0267,ABOUT,CHARGED IN BROOKLYN
MENTION:a0267:Brooklyn,ART:a0267,DERIVED_FROM,
Concept:가정 제조 술 레시피,MENTION:a0267:가정 제조 술 레시피,SUPPORTED_BY,
Concept:가정 제조 술 레시피,ART:a0267,ABOUT,"selling recipes for home mnnufacture of beer and ""red liquor"""
MENTION:a0267:가정 제조 술 레시피,ART:a0267,DERIVED_FROM,
EVENT:a0267:0,ART:a0267,ABOUT,two men am' a woman were arrested today in Brooklyn by federal.officials
EVENT:a0267:0,MENTION:a0267:event0,SUPPORTED_BY,
MENTION:a0267:event0,ART:a0267,DERIVED_FROM,
CA:a0267:0,Concept:자가제조 술 레시피 판매 광고,CAUSE,
CA:a0267:0,Concept:연방 단속 및 체포,EFFECT,
CA:a0267:0,MENTION:a0267:ca0,EVIDENCE,
MENTION:a0267:ca0,ART:a0267,DERIVED_FROM,
CA:a0267:1,Concept:다량의 알코올 함유 주장 광고,CAUSE,
CA:a0267:1,Concept:연방 당국의 보고 접수·수사 개시,EFFECT,
CA:a0267:1,MENTION:a0267:ca1,EVIDENCE,
MENTION:a0267:ca1,ART:a0267,DERIVED_FROM,
